date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/11/2025,PRNT,BICO GROUP AB,BICO,BKMFJ94,"1,142,503","$4,465,949.51",5.53%
03/11/2025,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"88,304","$3,853,943.74",4.77%
03/11/2025,PRNT,SIEMENS AG-REG,SIE,5727973,"15,365","$3,801,512.21",4.71%
03/11/2025,PRNT,NIKON CORP,7731,6642321,"330,569","$3,713,388.40",4.60%
03/11/2025,PRNT,STRATASYS LTD,SSYS,M85548101,"389,592","$3,705,019.92",4.59%
03/11/2025,PRNT,TITOMIC LTD,TTT,BYZ03N6,"23,836,946","$3,518,976.23",4.36%
03/11/2025,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"26,031","$3,449,535.74",4.27%
03/11/2025,PRNT,PROTO LABS INC,PRLB,743713109,"90,670","$3,362,950.30",4.16%
03/11/2025,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,498,336","$3,251,389.12",4.02%
03/11/2025,PRNT,HP INC,HPQ,40434L105,"106,999","$3,207,830.02",3.97%
03/11/2025,PRNT,3D SYSTEMS CORP,DDD,88554D205,"1,136,335","$3,159,011.30",3.91%
03/11/2025,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,"28,399","$3,154,844.91",3.90%
03/11/2025,PRNT,RENISHAW PLC,RSW,0732358,"85,062","$2,935,967.85",3.63%
03/11/2025,PRNT,ANSYS INC,ANSS,03662Q105,"8,994","$2,866,477.74",3.55%
03/11/2025,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,"101,838","$2,821,930.98",3.49%
03/11/2025,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"167,469","$2,687,877.45",3.33%
03/11/2025,PRNT,PTC INC,PTC,69370C100,"16,725","$2,693,059.50",3.33%
03/11/2025,PRNT,AUTODESK INC,ADSK,052769106,"10,757","$2,672,038.80",3.31%
03/11/2025,PRNT,XOMETRY INC-A,XMTR,98423F109,"104,775","$2,414,016.00",2.99%
03/11/2025,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"458,914","$2,248,678.60",2.78%
03/11/2025,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"138,747","$1,607,446.88",1.99%
03/11/2025,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"313,275","$1,418,161.16",1.76%
03/11/2025,PRNT,AMETEK INC,AME,031100100,"7,697","$1,380,610.89",1.71%
03/11/2025,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"35,879","$1,373,907.44",1.70%
03/11/2025,PRNT,GENERAL ELECTRIC,GE,369604301,"6,577","$1,263,573.24",1.56%
03/11/2025,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"6,180","$1,221,229.80",1.51%
03/11/2025,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"5,492","$1,196,432.20",1.48%
03/11/2025,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,"9,232","$1,113,563.84",1.38%
03/11/2025,PRNT,MELROSE INDUSTRIES PLC,MRO,BNGDN82,"176,772","$1,115,553.67",1.38%
03/11/2025,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"16,129","$1,056,288.21",1.31%
03/11/2025,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"6,233","$1,018,409.87",1.26%
03/11/2025,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"5,813","$990,709.59",1.23%
03/11/2025,PRNT,VOESTALPINE AG,VOE,4943402,"4,796","$127,907.19",0.16%
03/11/2025,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"5,204","$120,411.03",0.15%
03/11/2025,PRNT,SANDVIK AB,SAND,B1VQ252,"4,976","$113,970.90",0.14%
03/11/2025,PRNT,TORAY INDUSTRIES INC,3402,6897143,"14,505","$101,830.94",0.13%
03/11/2025,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,214","$104,613.23",0.13%
03/11/2025,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,"1,060","$99,575.58",0.12%
03/11/2025,PRNT,SGL CARBON SE,SGL,4818351,"21,648","$98,842.35",0.12%
03/11/2025,PRNT,3M CO,MMM,88579Y101,605,"$89,310.10",0.11%
03/11/2025,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,920,"$89,286.00",0.11%
03/11/2025,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"84,668","$84,667.89",0.10%
03/11/2025,PRNT,EASTMAN KODAK CO,KODK,277461406,"12,588","$82,829.04",0.10%
03/11/2025,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,"1,086","$83,437.38",0.10%
03/11/2025,PRNT,AVIENT CORP,AVNT,05368V106,"2,010","$81,686.40",0.10%
03/11/2025,PRNT,ATI INC,ATI,01741R102,"1,608","$82,088.40",0.10%
03/11/2025,PRNT,MATERION CORP,MTRN,576690101,840,"$71,551.20",0.09%
03/11/2025,PRNT,JABIL INC,JBL,466313103,518,"$69,075.30",0.09%
03/11/2025,PRNT,HEXCEL CORP,HXL,428291108,"1,320","$74,434.80",0.09%
03/11/2025,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,415,"$71,541.85",0.09%
03/11/2025,PRNT,5N PLUS INC,VNP,B2B3VZ3,"15,906","$61,352.74",0.08%
03/11/2025,PRNT,MARKFORGED HOLDING CORP,,57064N201,1,$2.34,0.00%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
