date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/11/2025,PRNT,BICO GROUP AB,BICO,BKMFJ94,"1,096,807","$3,769,688.52",5.57%
04/11/2025,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"3,354,480","$3,354,480.27",4.96%
04/11/2025,PRNT,STRATASYS LTD,SSYS,M85548101,"374,010","$3,343,649.40",4.94%
04/11/2025,PRNT,NIKON CORP,7731,6642321,"317,369","$3,166,670.02",4.68%
04/11/2025,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"84,773","$3,117,589.78",4.61%
04/11/2025,PRNT,SIEMENS AG-REG,SIE,5727973,"14,753","$3,088,451.95",4.56%
04/11/2025,PRNT,PROTO LABS INC,PRLB,743713109,"87,046","$2,929,968.36",4.33%
04/11/2025,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"24,990","$2,924,564.78",4.32%
04/11/2025,PRNT,TITOMIC LTD,TTT,BYZ03N6,"22,883,531","$2,775,313.96",4.10%
04/11/2025,PRNT,AUTODESK INC,ADSK,052769106,"10,328","$2,653,469.76",3.92%
04/11/2025,PRNT,ANSYS INC,ANSS,03662Q105,"8,637","$2,560,870.50",3.78%
04/11/2025,PRNT,RENISHAW PLC,RSW,0732358,"81,660","$2,446,305.28",3.62%
04/11/2025,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,"97,767","$2,429,509.95",3.59%
04/11/2025,PRNT,HP INC,HPQ,40434L105,"102,721","$2,349,229.27",3.47%
04/11/2025,PRNT,PTC INC,PTC,69370C100,"16,059","$2,308,641.84",3.41%
04/11/2025,PRNT,3D SYSTEMS CORP,DDD,88554D205,"1,090,885","$2,214,496.55",3.27%
04/11/2025,PRNT,XOMETRY INC-A,XMTR,98423F109,"100,587","$2,107,297.65",3.11%
04/11/2025,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,438,408","$2,056,923.44",3.04%
04/11/2025,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"160,773","$2,033,778.45",3.01%
04/11/2025,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"440,560","$1,885,596.80",2.79%
04/11/2025,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"133,200","$1,265,645.45",1.87%
04/11/2025,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"300,747","$1,169,075.33",1.73%
04/11/2025,PRNT,AMETEK INC,AME,031100100,"7,391","$1,163,491.22",1.72%
04/11/2025,PRNT,GENERAL ELECTRIC,GE,369604301,"6,316","$1,146,417.16",1.69%
04/11/2025,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"5,273","$1,125,838.23",1.66%
04/11/2025,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"34,445","$1,120,548.33",1.66%
04/11/2025,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"5,934","$1,049,843.28",1.55%
04/11/2025,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"5,984","$958,277.76",1.42%
04/11/2025,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"5,582","$892,617.62",1.32%
04/11/2025,PRNT,MELROSE INDUSTRIES PLC,MRO,BNGDN82,"169,704","$887,144.11",1.31%
04/11/2025,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,"8,863","$855,811.28",1.26%
04/11/2025,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"15,484","$809,348.68",1.20%
04/11/2025,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"4,997","$100,110.11",0.15%
04/11/2025,PRNT,VOESTALPINE AG,VOE,4943402,"4,607","$103,182.60",0.15%
04/11/2025,PRNT,SANDVIK AB,SAND,B1VQ252,"4,778","$89,593.40",0.13%
04/11/2025,PRNT,TORAY INDUSTRIES INC,3402,6897143,"14,205","$91,305.94",0.13%
04/11/2025,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,166","$79,846.02",0.12%
04/11/2025,PRNT,ATI INC,ATI,01741R102,"1,545","$71,657.10",0.11%
04/11/2025,PRNT,3M CO,MMM,88579Y101,581,"$77,255.57",0.11%
04/11/2025,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,"1,018","$77,178.21",0.11%
04/11/2025,PRNT,SGL CARBON SE,SGL,4818351,"20,784","$72,501.24",0.11%
04/11/2025,PRNT,EASTMAN KODAK CO,KODK,277461406,"12,087","$73,368.09",0.11%
04/11/2025,PRNT,JABIL INC,JBL,466313103,500,"$66,020.00",0.10%
04/11/2025,PRNT,HEXCEL CORP,HXL,428291108,"1,269","$64,871.28",0.10%
04/11/2025,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,884,"$67,219.36",0.10%
04/11/2025,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,400,"$67,104.00",0.10%
04/11/2025,PRNT,AVIENT CORP,AVNT,05368V106,"1,932","$58,983.96",0.09%
04/11/2025,PRNT,5N PLUS INC,VNP,B2B3VZ3,"15,306","$61,443.05",0.09%
04/11/2025,PRNT,MATERION CORP,MTRN,576690101,807,"$61,864.62",0.09%
04/11/2025,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,"1,044","$60,197.04",0.09%
04/11/2025,PRNT,MARKFORGED HOLDING CORP,,57064N201,1,$4.71,0.00%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
