date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/17/2025,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"759,782","$25,277,947.14",10.10%
04/17/2025,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"910,176","$21,689,494.08",8.67%
04/17/2025,ARKX,ROCKET LAB USA INC,RKLB,773122106,"924,291","$18,462,712.73",7.38%
04/17/2025,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"162,030","$15,021,801.30",6.00%
04/17/2025,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"2,111,598","$14,886,765.90",5.95%
04/17/2025,ARKX,TRIMBLE INC,TRMB,896239100,"244,205","$14,232,267.40",5.69%
04/17/2025,ARKX,AEROVIRONMENT INC,AVAV,008073108,"97,540","$14,027,227.40",5.61%
04/17/2025,ARKX,TERADYNE INC,TER,880770102,"169,385","$12,053,436.60",4.82%
04/17/2025,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"51,875","$11,354,400.00",4.54%
04/17/2025,ARKX,KOMATSU LTD,6301,6496584,"341,988","$9,724,332.46",3.89%
04/17/2025,ARKX,AMAZON.COM INC,AMZN,023135106,"54,449","$9,492,094.17",3.79%
04/17/2025,ARKX,THALES SA,HO,4162791,"30,692","$8,992,008.47",3.59%
04/17/2025,ARKX,DEERE & CO,DE,244199105,"16,524","$7,475,788.08",2.99%
04/17/2025,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"2,331,945","$6,179,654.25",2.47%
04/17/2025,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,046,417","$6,058,754.43",2.42%
04/17/2025,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"150,003","$5,716,726.15",2.29%
04/17/2025,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"13,193","$5,343,956.58",2.14%
04/17/2025,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,"26,165","$4,944,138.40",1.98%
04/17/2025,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"30,693","$4,772,761.50",1.91%
04/17/2025,ARKX,ADVANCED MICRO DEVICES,AMD,007903107,"44,159","$3,898,798.11",1.56%
04/17/2025,ARKX,HEICO CORP,HEI,422806109,"14,781","$3,653,124.15",1.46%
04/17/2025,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"198,754","$3,632,269.10",1.45%
04/17/2025,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"2,347,125","$3,508,408.07",1.40%
04/17/2025,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"7,288","$3,358,966.32",1.34%
04/17/2025,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"15,808","$3,055,370.24",1.22%
04/17/2025,ARKX,AIRBUS SE,AIR,4012250,"18,008","$2,880,935.52",1.15%
04/17/2025,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"5,601","$2,672,125.08",1.07%
04/17/2025,ARKX,SYNOPSYS INC,SNPS,871607107,"5,580","$2,319,327.00",0.93%
04/17/2025,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"195,663","$2,030,981.94",0.81%
04/17/2025,ARKX,INTUITIVE MACHINES INC,LUNR,46125A100,"227,514","$1,721,143.41",0.69%
04/17/2025,ARKX,3D SYSTEMS CORP,DDD,88554D205,"585,037","$1,129,121.41",0.45%
04/17/2025,ARKX,ANSYS INC,ANSS,03662Q105,"1,257","$379,098.63",0.15%
04/17/2025,ARKX,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"214,111","$214,111.35",0.09%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2024. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
